points,grade
30.0,3.0
30.5,3.035
31.0,3.07
31.5,3.105
32.0,3.14
32.5,3.175
33.0,3.21
33.5,3.245
34.0,3.28
34.5,3.315
35.0,3.35
35.5,3.385
36.0,3.42
36.5,3.455
37.0,3.49
37.5,3.525
38.0,3.56
38.5,3.595
39.0,3.63
39.5,3.665
40.0,3.7
40.5,3.735
41.0,3.77
41.5,3.805
42.0,3.84
42.5,3.875
43.0,3.91
43.5,3.945
44.0,3.98
44.5,4.015
45.0,4.05
45.5,4.0777777777777775
46.0,4.105555555555555
46.5,4.133333333333333
47.0,4.161111111111111
47.5,4.188888888888889
48.0,4.216666666666667
48.5,4.2444444444444445
49.0,4.272222222222222
49.5,4.3
50.0,4.3277777777777775
50.5,4.355555555555555
51.0,4.383333333333333
51.5,4.411111111111111
52.0,4.438888888888888
52.5,4.466666666666667
53.0,4.4944444444444445
53.5,4.522222222222222
54.0,4.55
54.5,4.5777777777777775
55.0,4.605555555555555
55.5,4.633333333333333
56.0,4.661111111111111
56.5,4.688888888888888
57.0,4.716666666666667
57.5,4.7444444444444445
58.0,4.772222222222222
58.5,4.8
59.0,4.8277777777777775
59.5,4.855555555555555
60.0,4.883333333333333
60.5,4.911111111111111
61.0,4.938888888888888
61.5,4.966666666666667
62.0,4.9944444444444445
62.5,5.022222222222222
63.0,5.05
63.5,5.0777777777777775
64.0,5.105555555555555
64.5,5.133333333333333
65.0,5.161111111111111
65.5,5.188888888888888
66.0,5.216666666666667
66.5,5.2444444444444445
67.0,5.272222222222222
67.5,5.3
68.0,5.3277777777777775
68.5,5.355555555555555
69.0,5.383333333333333
69.5,5.411111111111111
70.0,5.438888888888888
70.5,5.466666666666667
71.0,5.4944444444444445
71.5,5.522222222222222
72.0,5.55
72.5,5.5777777777777775
73.0,5.605555555555555
73.5,5.633333333333333
74.0,5.661111111111111
74.5,5.688888888888888
75.0,5.716666666666667
75.5,5.7444444444444445
76.0,5.772222222222222
76.5,5.8
77.0,5.804255319148936
77.5,5.808510638297872
78.0,5.812765957446809
78.5,5.817021276595744
79.0,5.82127659574468
79.5,5.825531914893617
80.0,5.829787234042553
80.5,5.834042553191489
81.0,5.8382978723404255
81.5,5.842553191489362
82.0,5.846808510638298
82.5,5.8510638297872335
83.0,5.85531914893617
83.5,5.859574468085106
84.0,5.863829787234042
84.5,5.868085106382979
85.0,5.872340425531915
85.5,5.876595744680851
86.0,5.880851063829788
86.5,5.885106382978723
87.0,5.889361702127659
87.5,5.893617021276596
88.0,5.897872340425532
88.5,5.902127659574468
89.0,5.906382978723404
89.5,5.910638297872341
90.0,5.914893617021277
90.5,5.919148936170212
91.0,5.923404255319149
91.5,5.927659574468085
92.0,5.931914893617021
92.5,5.9361702127659575
93.0,5.940425531914894
93.5,5.94468085106383
94.0,5.948936170212766
94.5,5.953191489361702
95.0,5.957446808510638
95.5,5.961702127659574
96.0,5.965957446808511
96.5,5.970212765957447
97.0,5.974468085106383
97.5,5.97872340425532
98.0,5.982978723404255
98.5,5.987234042553191
99.0,5.991489361702127
99.5,5.995744680851064
100.0,6.0
