question,type,option1,option2,option3,option4,answer,image,compare,added_at
,mcq_img,А,Б,В,Г,В,nvo10math1.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo10math2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo10math3.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo10math4.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo10math5.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo10math6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo10math7.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo10math8.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo10math9.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo10math10.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo10math17.png,exact,2026-03-17T17:27:41
